"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Winsvold BS",GCST004944,2017-09-28,"PLoS One","Shared genetic risk between migraine and coronary artery disease: A genome-wide analysis of common variants.","Migraine or coronary artery disease","migraine disorder, coronary artery disease",'-,"230881 European, NR",'-,0,NA
"Lv WQ",GCST004838,2017-08-23,"J Mol Cell Cardiol","Novel common variants associated with body mass index and coronary artery disease detected using a pleiotropic cFDR method.","Coronary artery disease and/or body mass index (pleiotropy)","body mass index, coronary artery disease",'-,"249796 European30482 South Asian, European","86995 European",0,NA
"Siewert KM",GCST007547,2018-12-01,"Circ Genom Precis Med","Bivariate Genome-Wide Association Scan Identifies 6 Novel Loci Associated With Lipid Levels and Coronary Artery Disease.","Coronary artery disease and HDL cholesterol levels (multivariate analysis)","high density lipoprotein cholesterol measurement, coronary artery disease",'-,"735838 NR, European",'-,1,"FTP Download"
"Siewert KM",GCST007546,2018-12-01,"Circ Genom Precis Med","Bivariate Genome-Wide Association Scan Identifies 6 Novel Loci Associated With Lipid Levels and Coronary Artery Disease.","Coronary artery disease and LDL cholesterol levels (multivariate analysis)","low density lipoprotein cholesterol measurement, coronary artery disease",'-,"735838 European, NR",'-,2,"FTP Download"
"Siewert KM",GCST007545,2018-12-01,"Circ Genom Precis Med","Bivariate Genome-Wide Association Scan Identifies 6 Novel Loci Associated With Lipid Levels and Coronary Artery Disease.","Coronary artery disease and triglyceride levels (multivariate analysis)","triglyceride measurement, coronary artery disease",'-,"735838 European, NR",'-,3,"FTP Download"
"Siewert KM",GCST007544,2018-12-01,"Circ Genom Precis Med","Bivariate Genome-Wide Association Scan Identifies 6 Novel Loci Associated With Lipid Levels and Coronary Artery Disease.","Coronary artery disease and total cholesterol levels (multivariate analysis)","total cholesterol measurement, coronary artery disease",'-,"735838 European, NR",'-,1,"FTP Download"
"Mao XJ",GCST012937,2019-07-17,"Sci Rep","Improved detection of common variants in coronary artery disease and blood pressure using a pleiotropy cFDR method.","Coronary artery disease and systolic blood pressure (pleiotropy)","systolic blood pressure, coronary artery disease",'-,"156390 European","14790 South Asian15692 European",0,NA
"Mao XJ",GCST012936,2019-07-17,"Sci Rep","Improved detection of common variants in coronary artery disease and blood pressure using a pleiotropy cFDR method.","Coronary artery disease and diastolic blood pressure (pleiotropy)","diastolic blood pressure, coronary artery disease",'-,"156390 European","15692 European14790 South Asian",0,NA
"Vujkovic M",GCST010551,2020-06-15,"Nat Genet","Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.","Coronary heart disease x type 2 diabetes interaction","type 2 diabetes mellitus, coronary artery disease",'-,"197230 European",'-,3,NA
"van Zuydam NR",GCST011487,2020-08-13,"Circ Genom Precis Med","Genetic Predisposition to Coronary Artery Disease in Type 2 Diabetes Mellitus.","Coronary artery disease x type 2 diabetes interaction","type 2 diabetes mellitus, coronary artery disease",'-,"66643 European, South Asian","117787 European",0,NA
"Temprano-Sagrera G",GCST90129542,2022-03-14,"J Thromb Haemost","Multi-phenotype analyses of hemostatic traits with cardiovascular events reveal novel genetic associations.","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,"738986 European, South Asian, East Asian27495 European, African American or Afro-Caribbean",'-,80,NA
"Temprano-Sagrera G",GCST90129543,2022-03-14,"J Thromb Haemost","Multi-phenotype analyses of hemostatic traits with cardiovascular events reveal novel genetic associations.","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,"738986 European, South Asian, East Asian32610 European, African American or Afro-Caribbean, East Asian, South Asian, Hispanic or Latin American",'-,82,NA
"Temprano-Sagrera G",GCST90129544,2022-03-14,"J Thromb Haemost","Multi-phenotype analyses of hemostatic traits with cardiovascular events reveal novel genetic associations.","Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,"738986 European, South Asian, East Asian46354 European, African American or Afro-Caribbean, Hispanic or Latin American",'-,88,NA
"Temprano-Sagrera G",GCST90129545,2022-03-14,"J Thromb Haemost","Multi-phenotype analyses of hemostatic traits with cardiovascular events reveal novel genetic associations.","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,"738986 European, South Asian, East Asian16169 European",'-,81,NA
"Temprano-Sagrera G",GCST90129546,2022-03-14,"J Thromb Haemost","Multi-phenotype analyses of hemostatic traits with cardiovascular events reveal novel genetic associations.","Coronary artery disease or fibrinogen levels (pleiotropy)","fibrinogen measurement, coronary artery disease",'-,"738986 European, South Asian, East Asian120246 European",'-,107,NA
"Temprano-Sagrera G",GCST90129547,2022-03-14,"J Thromb Haemost","Multi-phenotype analyses of hemostatic traits with cardiovascular events reveal novel genetic associations.","Coronary artery disease or tissue plasminogen activator levels (pleiotropy)","tissue plasminogen activator measurement, coronary artery disease",'-,"738986 European, South Asian, East Asian26929 European",'-,52,NA
"Temprano-Sagrera G",GCST90129548,2022-03-14,"J Thromb Haemost","Multi-phenotype analyses of hemostatic traits with cardiovascular events reveal novel genetic associations.","Coronary artery disease or plasminogen activator inhibitor 1 levels (pleiotropy)","coronary artery disease, plasminogen activator inhibitor 1 measurement",'-,"738986 European, South Asian, East Asian19599 European",'-,48,NA
"Dungan JR",GCST90133369,2022-06-14,"Am Heart J Plus","Sex-dimorphic gene effects on survival outcomes in people with coronary artery disease.","Survival in coronary artery disease","survival time, coronary artery disease",'-,"510 European",'-,8,NA
"Dungan JR",GCST90133370,2022-06-14,"Am Heart J Plus","Sex-dimorphic gene effects on survival outcomes in people with coronary artery disease.","Survival in coronary artery disease","survival time, coronary artery disease",'-,"174 European",'-,15,NA
"Wakim V",GCST011565,2021-03-25,"BMC Med Genomics","New susceptibility alleles associated with severe coronary artery stenosis in the Lebanese population.","Severe coronary stenosis (family history of CAD interaction)","obsolete_coronary stenosis, family history, coronary artery disease",'-,"2491 Greater Middle Eastern (Middle Eastern, North African or Persian)",'-,1,NA
"Jia X",GCST008976,2018-10-31,"Int J Cardiol","Multivariate analysis of genome-wide data to identify potential pleiotropic genes for type 2 diabetes, obesity and coronary artery disease using MetaCCA.","Type 2 diabetes or obesity or coronary artery disease (pleiotropy)","type 2 diabetes mellitus, obesity, coronary artery disease",'-,"620021 European",'-,0,NA
"He L",GCST004044,2016-11-03,"Front Genet","Pleiotropic Meta-Analyses of Longitudinal Studies Discover Novel Genetic Variants Associated with Age-Related Diseases.","Age-related diseases and mortality","heart failure, obsolete_cancer, diabetes mellitus, stroke, atrial fibrillation, mortality, coronary artery disease",'-,"9618 European","19796 European",14,NA
"Broce IJ",GCST007303,2018-11-09,"Acta Neuropathol","Dissecting the genetic relationship between cardiovascular risk factors and Alzheimer's disease.","Alzheimer's disease or cardiovascular risk factors (pleiotropy)","Alzheimer disease, total cholesterol measurement, triglyceride measurement, low density lipoprotein cholesterol measurement, waist-hip ratio, body mass index, type 2 diabetes mellitus, high density lipoprotein cholesterol measurement, coronary artery disease",'-,"1432180 European",'-,0,NA
"He L",GCST004045,2016-11-03,"Front Genet","Pleiotropic Meta-Analyses of Longitudinal Studies Discover Novel Genetic Variants Associated with Age-Related Diseases.","Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, obsolete_cancer, diabetes mellitus, glucose measurement, mortality",'-,"9618 European","19796 European",44,NA
